Start Date,End Date,Start Time,End Time,City,Average Temperature in Celcius,Top Three Most Common Weather Text
2022-08-03,2022-08-04,10:55:00,09:55:00,Perth,12.4,"['Cloudy', 'Light Rain Shower', 'Rain Shower']"
2022-08-03,2022-08-04,10:55:00,09:55:00,Perth,12.4,"['Cloudy', 'Light Rain Shower', 'Rain Shower']"
2022-08-03,2022-08-04,10:55:00,09:55:00,Perth,12.4,"['Cloudy', 'Light Rain Shower', 'Rain Shower']"
2022-08-03,2022-08-04,12:25:00,11:25:00,Darwin,25.8,"['Partly Sunny', 'Clear', 'Cloudy']"
2022-08-03,2022-08-04,12:55:00,11:55:00,Canberra,13.9,"['Mostly Cloudy', 'Thunderstorm', 'Cloudy']"
2022-08-03,2022-08-04,13:00:00,12:00:00,Hobart,11.7,"['Cloudy', 'Mostly Clear', 'Mostly Sunny']"
2022-08-03,2022-08-04,12:55:00,12:00:00,Melbourne,15.2,"['Mostly Cloudy', 'No Data', 'No Data']"
2022-08-03,2022-08-04,13:55:00,12:55:00,Brisbane,17.0,"['Partly Sunny', 'Foggy', 'Ground Fog']"
2022-08-03,2022-08-04,13:00:00,12:00:00,Sydney,19.7,"['Clear', 'Cloudy', 'Sunny']"
2022-08-03,2022-08-04,10:55:00,09:55:00,Perth,12.4,"['Cloudy', 'Light Rain Shower', 'Rain Shower']"
2022-08-03,2022-08-04,12:25:00,11:25:00,Darwin,25.8,"['Partly Sunny', 'Clear', 'Cloudy']"
2022-08-03,2022-08-04,12:55:00,11:55:00,Canberra,13.9,"['Mostly Cloudy', 'Thunderstorm', 'Cloudy']"
2022-08-03,2022-08-04,13:00:00,12:00:00,Hobart,11.7,"['Cloudy', 'Mostly Clear', 'Mostly Sunny']"
2022-08-03,2022-08-04,12:55:00,12:00:00,Melbourne,15.2,"['Mostly Cloudy', 'No Data', 'No Data']"
2022-08-03,2022-08-04,13:55:00,12:55:00,Brisbane,17.0,"['Partly Sunny', 'Foggy', 'Ground Fog']"
2022-08-03,2022-08-04,13:00:00,12:00:00,Sydney,19.7,"['Clear', 'Cloudy', 'Sunny']"
2022-08-03,2022-08-04,10:55:00,09:55:00,Perth,12.4,"['Cloudy', 'Light Rain Shower', 'Rain Shower']"
2022-08-03,2022-08-04,12:25:00,11:25:00,Darwin,25.8,"['Partly Sunny', 'Clear', 'Cloudy']"
2022-08-03,2022-08-04,12:55:00,11:55:00,Canberra,13.9,"['Mostly Cloudy', 'Thunderstorm', 'Cloudy']"
2022-08-03,2022-08-04,13:00:00,12:00:00,Hobart,11.7,"['Cloudy', 'Mostly Clear', 'Mostly Sunny']"
2022-08-03,2022-08-04,12:55:00,12:00:00,Melbourne,15.2,"['Mostly Cloudy', 'No Data', 'No Data']"
2022-08-03,2022-08-04,13:55:00,12:55:00,Brisbane,17.0,"['Partly Sunny', 'Foggy', 'Ground Fog']"
2022-08-03,2022-08-04,13:00:00,12:00:00,Sydney,19.7,"['Clear', 'Cloudy', 'Sunny']"
2022-08-03,2022-08-04,10:55:00,09:55:00,Perth,12.4,"['Cloudy', 'Light Rain Shower', 'Rain Shower']"
2022-08-03,2022-08-04,12:25:00,11:25:00,Darwin,25.8,"['Partly Sunny', 'Clear', 'Cloudy']"
2022-08-03,2022-08-04,12:55:00,11:55:00,Canberra,13.9,"['Mostly Cloudy', 'Thunderstorm', 'Cloudy']"
2022-08-03,2022-08-04,13:00:00,12:00:00,Hobart,11.7,"['Cloudy', 'Mostly Clear', 'Mostly Sunny']"
2022-08-03,2022-08-04,12:55:00,12:00:00,Melbourne,15.2,"['Mostly Cloudy', 'No Data', 'No Data']"
2022-08-03,2022-08-04,13:55:00,12:55:00,Brisbane,17.0,"['Partly Sunny', 'Foggy', 'Ground Fog']"
2022-08-03,2022-08-04,13:00:00,12:00:00,Sydney,19.7,"['Clear', 'Cloudy', 'Sunny']"
2022-08-03,2022-08-04,10:55:00,09:55:00,Perth,12.4,"['Cloudy', 'Light Rain Shower', 'Rain Shower']"
2022-08-03,2022-08-04,12:25:00,11:25:00,Darwin,25.8,"['Partly Sunny', 'Clear', 'Cloudy']"
2022-08-03,2022-08-04,12:55:00,11:55:00,Canberra,13.9,"['Mostly Cloudy', 'Thunderstorm', 'Cloudy']"
2022-08-03,2022-08-04,13:00:00,12:00:00,Hobart,11.7,"['Cloudy', 'Mostly Clear', 'Mostly Sunny']"
2022-08-03,2022-08-04,12:55:00,12:00:00,Melbourne,15.2,"['Mostly Cloudy', 'No Data', 'No Data']"
2022-08-03,2022-08-04,13:55:00,12:55:00,Brisbane,17.0,"['Partly Sunny', 'Foggy', 'Ground Fog']"
2022-08-03,2022-08-04,13:00:00,12:00:00,Sydney,19.7,"['Clear', 'Cloudy', 'Sunny']"
